"continent","location","highest_death_count"
"North America","United States",576232
"South America","Brazil",403781
"North America","Mexico",216907
"Asia","India",211853
"Europe","United Kingdom",127775
"Europe","Italy",120807
"Europe","Russia",108290
"Europe","France",104675
"Europe","Germany",83097
"Europe","Spain",78216
"South America","Colombia",73720
"Asia","Iran",71758
"Europe","Poland",67502
"South America","Argentina",63865
"South America","Peru",61477
"Africa","South Africa",54350
"Europe","Ukraine",45923
"Asia","Indonesia",45521
"Asia","Turkey",40131
"Europe","Czechia",29267
"Europe","Romania",28109
"Europe","Hungary",27540
"South America","Chile",26353
"Europe","Belgium",24230
"North America","Canada",24220
"South America","Ecuador",18631
"Asia","Pakistan",17957
"Europe","Netherlands",17398
"Asia","Philippines",17234
"Europe","Portugal",16974
"Europe","Bulgaria",16399
"Asia","Iraq",15465
"Europe","Sweden",14048
"Africa","Egypt",13339
"South America","Bolivia",12951
"Europe","Slovakia",11684
"Asia","Bangladesh",11450
"Africa","Tunisia",10722
"Europe","Switzerland",10632
"Europe","Greece",10381
"Europe","Austria",10205
"Asia","Japan",10199
"Africa","Morocco",9023
"Asia","Jordan",8836
"Europe","Bosnia and Herzegovina",8551
"North America","Guatemala",7524
"Asia","Lebanon",7278
"Europe","Croatia",7081
"Asia","Saudi Arabia",6957
"South America","Paraguay",6385
"Asia","Israel",6363
"Europe","Serbia",6362
"North America","Panama",6232
"Europe","Moldova",5812
"North America","Honduras",5281
"Europe","Ireland",4903
"Europe","North Macedonia",4855
"Asia","China",4845
"Asia","Azerbaijan",4517
"Europe","Slovenia",4250
"Asia","Georgia",4110
"Asia","Armenia",4108
"Europe","Lithuania",3923
"Africa","Ethiopia",3688
"North America","Dominican Republic",3480
"Asia","Kazakhstan",3334
"Asia","Nepal",3279
"Africa","Algeria",3253
"Asia","Palestine",3249
"North America","Costa Rica",3231
"Asia","Myanmar",3209
"Africa","Libya",3029
"Africa","Kenya",2724
"Asia","Afghanistan",2625
"South America","Uruguay",2616
"Europe","Belarus",2542
"Europe","Denmark",2484
"Europe","Albania",2394
"Africa","Sudan",2349
"South America","Venezuela",2136
"Europe","Kosovo",2134
"Europe","Latvia",2131
"North America","El Salvador",2124
"Africa","Nigeria",2063
"Asia","Oman",2010
"Asia","South Korea",1831
"Asia","Kyrgyzstan",1604
"Asia","Syria",1592
"Asia","United Arab Emirates",1587
"Africa","Zimbabwe",1567
"Asia","Kuwait",1563
"Asia","Malaysia",1506
"Europe","Montenegro",1495
"Africa","Zambia",1251
"Asia","Yemen",1226
"Europe","Estonia",1161
"Africa","Malawi",1148
"Africa","Cameroon",1107
"Africa","Senegal",1107
"Europe","Finland",914
"Oceania","Australia",910
"Africa","Mozambique",814
"Europe","Luxembourg",796
"Africa","Ghana",779
"North America","Jamaica",778
"Africa","Democratic Republic of Congo",766
"Europe","Norway",756
"Africa","Somalia",713
"Africa","Botswana",712
"Asia","Sri Lanka",678
"Africa","Eswatini",671
"Asia","Uzbekistan",649
"Asia","Bahrain",646
"North America","Cuba",644
"Africa","Madagascar",643
"Africa","Namibia",642
"Africa","Angola",596
"Africa","Mali",484
"Asia","Qatar",458
"Africa","Mauritania",455
"Europe","Malta",413
"Africa","Uganda",342
"Africa","Rwanda",335
"North America","Belize",323
"Africa","Lesotho",316
"Europe","Cyprus",308
"South America","Guyana",296
"Africa","Cote d'Ivoire",286
"North America","Haiti",254
"Africa","Cape Verde",217
"South America","Suriname",204
"Asia","Thailand",203
"North America","Bahamas",199
"Africa","Niger",191
"North America","Nicaragua",182
"Africa","Gambia",174
"Africa","Chad",170
"North America","Trinidad and Tobago",169
"Africa","Burkina Faso",157
"Africa","Comoros",146
"Africa","Guinea",144
"Africa","Congo",144
"Africa","Djibouti",143
"Africa","Gabon",139
"Europe","Andorra",125
"Africa","Togo",123
"Africa","South Sudan",115
"Asia","Mongolia",115
"Africa","Equatorial Guinea",112
"Oceania","Papua New Guinea",107
"Africa","Benin",99
"Asia","Cambodia",93
"Europe","San Marino",90
"Asia","Tajikistan",90
"Africa","Central African Republic",88
"Africa","Liberia",85
"Africa","Sierra Leone",79
"North America","Saint Lucia",74
"Asia","Maldives",73
"Africa","Guinea-Bissau",67
"Europe","Liechtenstein",57
"North America","Barbados",44
"Africa","Sao Tome and Principe",35
"Asia","Vietnam",35
"Europe","Monaco",32
"North America","Antigua and Barbuda",32
"Asia","Singapore",30
"Europe","Iceland",29
"Africa","Seychelles",28
"Oceania","New Zealand",26
"Africa","Tanzania",21
"Africa","Mauritius",17
"Asia","Taiwan",12
"North America","Saint Vincent and the Grenadines",11
"Africa","Eritrea",10
"Africa","Burundi",6
"Asia","Timor",3
"Asia","Brunei",3
"Oceania","Fiji",2
"North America","Grenada",1
"Oceania","Vanuatu",1
"Asia","Bhutan",1
